checked_at,source_kind,url,final_url,facility_count,sample_facility_names,sample_facility_ids,http_status,ok,error,load_ms,html_bytes,charset,page_title,meta_description,h1_count,h1_text,h2_count,text_chars,image_count,css_count,css_bytes,table_count,deprecated_tag_count,has_viewport,has_media_query,has_flex_grid,has_responsive_units,has_canonical,has_og,has_schema,has_favicon,has_tel,has_address,has_hours,has_map,has_sns,sns_platforms,design_score,clarity_score,content_score,cleanliness_score,speed_score,seo_score,mobile_score,sns_score,total_score,grade,notes
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/harukaze.htm,http://www.iryou-map.co.jp/harukaze.htm,1,はるかぜ接骨院,name_tel:はるかぜ接骨院|052-852-8022,200,1,,185,16209,euc-jp,はるかぜ接骨院,,0,,0,1370,50,2,5633,39,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,48,80,76,75,100,27,0,0,59,C,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; SNSリンク未検出
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/hashimoto-shika.htm,http://www.iryou-map.co.jp/hashimoto-shika.htm,1,ハシモト歯科,name_tel:ハシモト歯科|052-504-1223,200,1,,176,15144,euc-jp,ハシモト歯科,,0,,0,776,50,2,5633,39,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,48,76,66,75,100,27,0,0,57,C,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; SNSリンク未検出
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/hinkyousei-shika.htm,http://www.iryou-map.co.jp/hinkyousei-shika.htm,1,ひん矯正歯科クリニック,name_tel:ひん矯正歯科クリニック|052-806-0656,200,1,,80,16239,euc-jp,ひん矯正歯科クリニック,,0,,0,1301,50,2,5633,39,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,48,80,76,75,100,35,0,0,61,C,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; SNSリンク未検出
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/irigaikementaru-c.htm,http://www.iryou-map.co.jp/irigaikementaru-c.htm,1,杁ヶ池メンタルクリニック,name_tel:杁ヶ池メンタルクリニック|0561-62-2782,200,1,,79,15586,euc-jp,杁ヶ池メンタルクリニック,,0,,0,908,50,2,5633,39,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,48,80,66,75,100,35,0,0,59,C,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; SNSリンク未検出
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/ito-bs_01.html,http://www.iryou-map.co.jp/ito-bs_01.html,1,いとう接骨院,url:http://www.iryou-map.co.jp/ito-bs_01.html,200,1,,186,7547,euc-jp,いとう接骨院,,0,,1,1012,20,2,3050,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,59,50,46,78,100,27,0,0,52,D,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; 電話情報弱い; 住所/アクセス情報弱い; SNSリンク未検出; 古いHTMLタグ:1
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/ito-bs_02.html,http://www.iryou-map.co.jp/ito-bs_02.html,1,いとう接骨院,url:http://www.iryou-map.co.jp/ito-bs_02.html,200,1,,184,3812,euc-jp,いとう接骨院,,0,,1,58,18,2,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,63,26,22,85,100,27,0,0,46,D,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; 電話情報弱い; 住所/アクセス情報弱い; 診療時間情報弱い; SNSリンク未検出
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/ito-bs_03.html,http://www.iryou-map.co.jp/ito-bs_03.html,1,いとう接骨院,url:http://www.iryou-map.co.jp/ito-bs_03.html,200,1,,125,4467,euc-jp,いとう接骨院,,0,,1,470,17,2,3050,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,48,30,28,70,100,27,0,0,43,D,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; 電話情報弱い; 住所/アクセス情報弱い; 診療時間情報弱い; SNSリンク未検出; 古いHTMLタグ:4
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/ito-bs_04.html,http://www.iryou-map.co.jp/ito-bs_04.html,1,いとう接骨院,name_tel:いとう接骨院|0566-78-1999,200,1,,125,5345,euc-jp,いとう接骨院,,0,,1,222,19,2,3050,1,3,0,0,0,0,0,0,0,0,1,1,0,1,0,,51,64,52,70,100,27,0,0,53,D,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; 診療時間情報弱い; SNSリンク未検出; 古いHTMLタグ:3
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/ito-bs.html,http://www.iryou-map.co.jp/ito-bs.html,1,いとう接骨院,url:http://www.iryou-map.co.jp/ito-bs.html,200,1,,137,5236,euc-jp,いとう接骨院,刈谷市「いとう接骨院」のホームページです。患者様ひとりひとりと向き合い、ケガの早期回復と皆様の健康維持に少しでも役立ちたいと考えています。,0,,1,315,20,2,3050,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,59,44,38,78,100,49,0,0,53,D,HTTPSではない; viewportなし; レスポンシブCSS弱い; h1なし; 電話情報弱い; 診療時間情報弱い; SNSリンク未検出; 古いHTMLタグ:1
2026-05-27T15:48:49.206Z,iryou_map,http://www.iryou-map.co.jp/matsumotonaika_01.html,http://www.iryou-map.co.jp/matsumotonaika_01.html,1,松本内科,name_addr:松本内科|名古屋市胃カメラ健診（50歳以上の方、2年に1回）,200,1,,139,6068,euc-jp,松本内科,,0,,1,590,18,2,3050,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,,51,60,56,70,100,27,0,0,53,D,HTTPSではない; viewportなし; レスポンシブCSS弱い; descriptionなし; h1なし; 電話情報弱い; SNSリンク未検出; 古いHTMLタグ:3
