source,url,method,status,ok,final_url,redirected,elapsed_ms,content_type,server,powered_by,error
sitemapmobile.xml,http://iryou-map.co.jp/s/,HEAD,200,True,http://iryou-map.co.jp/,True,325,text/html,Apache,PHP/5.2.4,
sitemapmobile.xml,http://iryou-map.co.jp/s/area.php,HEAD,200,True,http://iryou-map.co.jp/search/area/,True,155,text/html,Apache,PHP/5.2.4,
sitemapmobile.xml,http://iryou-map.co.jp/s/category.php,HEAD,200,True,http://iryou-map.co.jp/search/kamoku/,True,396,text/html,Apache,PHP/5.2.4,
sitemapmobile.xml,http://iryou-map.co.jp/s/index.php,HEAD,200,True,http://iryou-map.co.jp/,True,220,text/html,Apache,PHP/5.2.4,
sitemapmobile.xml,http://iryou-map.co.jp/s/point.php,HEAD,200,True,https://g110.secure.ne.jp/~g110273/s/,True,428,text/html; charset=UTF-8,Apache,PHP/4.4.7,
sitemap.xml,http://www.iryou-map.co.jp/,HEAD,200,True,http://www.iryou-map.co.jp/,False,841,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/company/company.php,HEAD,200,True,http://www.iryou-map.co.jp/company/company.php,False,223,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/company/privacy.php,HEAD,200,True,http://www.iryou-map.co.jp/company/privacy.php,False,109,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/company/sitemap.php,HEAD,200,True,http://www.iryou-map.co.jp/company/sitemap.php,False,102,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/form/,HEAD,200,True,http://www.iryou-map.co.jp/form/,False,907,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/,HEAD,200,True,http://www.iryou-map.co.jp/guide/,False,113,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/child/,HEAD,200,True,http://www.iryou-map.co.jp/guide/child/,False,338,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/knowledge/,HEAD,200,True,http://www.iryou-map.co.jp/guide/knowledge/,False,174,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/man/,HEAD,200,True,http://www.iryou-map.co.jp/guide/man/,False,140,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/,False,91,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/index2.php,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/index2.php,False,83,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/index3.php,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/index3.php,False,184,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/index4.php,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/index4.php,False,175,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/index5.php,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/index5.php,False,162,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/index6.php,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/index6.php,False,125,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/index7.php,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/index7.php,False,133,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/index8.php,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/index8.php,False,278,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/parts/index9.php,HEAD,200,True,http://www.iryou-map.co.jp/guide/parts/index9.php,False,132,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/guide/woman/,HEAD,200,True,http://www.iryou-map.co.jp/guide/woman/,False,605,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/harukaze.htm,HEAD,200,True,http://www.iryou-map.co.jp/harukaze.htm,False,47,text/html,Apache,,
sitemap.xml,http://www.iryou-map.co.jp/hashimoto-shika.htm,HEAD,200,True,http://www.iryou-map.co.jp/hashimoto-shika.htm,False,49,text/html,Apache,,
sitemap.xml,http://www.iryou-map.co.jp/hattorisekkotsuin.htm,HEAD,404,False,http://www.iryou-map.co.jp/hattorisekkotsuin.htm,False,52,text/html; charset=iso-8859-1,Apache,,HTTPError: HTTP Error 404: Not Found
sitemap.xml,http://www.iryou-map.co.jp/hinkyousei-shika.htm,HEAD,200,True,http://www.iryou-map.co.jp/hinkyousei-shika.htm,False,47,text/html,Apache,,
sitemap.xml,http://www.iryou-map.co.jp/imai.htm,HEAD,404,False,http://www.iryou-map.co.jp/imai.htm,False,1153,text/html; charset=iso-8859-1,Apache,,HTTPError: HTTP Error 404: Not Found
sitemap.xml,http://www.iryou-map.co.jp/info/news.php,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php,False,269,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201104,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201104,False,163,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201105,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201105,False,82,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201106,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201106,False,189,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201107,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201107,False,242,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201108,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201108,False,263,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201109,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201109,False,94,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201110,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201110,False,84,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201111,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201111,False,120,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201112,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201112,False,125,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201201,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201201,False,133,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201202,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201202,False,129,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201203,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201203,False,113,text/html,Apache,PHP/5.2.4,
sitemap.xml,http://www.iryou-map.co.jp/info/news.php?201204,HEAD,200,True,http://www.iryou-map.co.jp/info/news.php?201204,False,123,text/html,Apache,PHP/5.2.4,
